json_size json_time json_classic_size json_classic_time json_scannerless_size json_scannerless_time json_unbounded_size json_unbounded_time json_unbounded_scannerless_size json_unbounded_scannerless_time pascal_size pascal_time pascal_classic_size pascal_classic_time pascal_scannerless_size pascal_scannerless_time pascal_unbounded_size pascal_unbounded_time pascal_unbounded_scannerless_size pascal_unbounded_scannerless_time c_size c_time c_classic_size c_classic_time c_scannerless_size c_scannerless_time c_unbounded_size c_unbounded_time c_unbounded_scannerless_size c_unbounded_scannerless_time fortran_size fortran_time fortran_classic_size fortran_classic_time fortran_scannerless_size fortran_scannerless_time fortran_unbounded_size fortran_unbounded_time fortran_unbounded_scannerless_size fortran_unbounded_scannerless_time cobol_size cobol_time cobol_classic_size cobol_classic_time cobol_scannerless_size cobol_scannerless_time cobol_unbounded_size cobol_unbounded_time cobol_unbounded_scannerless_size cobol_unbounded_scannerless_time
200.267 0.47862609999999994 200.267 0.13452820000000001 200.267 2.2945719 200.267 0.4787338 200.267 1.2529796 200.435 2.3308711 200.435 1.5199096 200.435 4.2338264 210.979 15.9062255 200.435 3.0075753 200.909 2.4819244 200.909 1.0558541 200.909 4.7330741000000005 200.909 2.3929269 200.909 2.9574728 200.562 3.1026982 200.562 1.6176501 200.562 5.506545 200.562 2.7897382 200.562 3.2804097999999997 201.04 2.0489215 201.04 0.7013199 201.04 6.210041299999999 260.267 2.769036 201.04 3.9234879
210.375 0.4814293 210.375 0.1360689 210.375 2.3779373 210.375 0.4813491 210.375 1.2941715999999999 210.979 2.4657761000000002 210.979 1.6010271 210.979 4.6899066000000005 220.322 2.4480055 210.979 3.1487670000000003 211.082 2.5996574 211.082 1.1246054 211.082 4.943611 211.082 2.5059932 211.082 3.0805732 210.638 3.2711610999999996 210.638 1.7122845999999998 210.638 5.8124813 210.638 2.9437799 210.638 3.4558747000000003 211.055 2.3195102 211.055 0.7839438000000001 211.055 5.929066199999999 270.49 22.2322618 211.055 4.0878959
220.577 0.5038322 220.577 0.1427755 220.577 2.4853195 220.577 0.5056616 220.577 1.3511682 220.322 2.6086853 220.322 1.6929395 220.322 4.915274999999999 230.871 2.3196315 220.322 3.3222786999999996 220.325 2.7287384 220.325 1.1820431 220.325 5.1920653 220.325 2.6273626 220.325 3.4306621 221.133 3.3700322999999996 221.133 1.7706876 221.133 5.9223153 221.133 3.0602597 221.133 3.5611528 220.599 2.3775744 220.599 0.8370376 220.599 6.6439346 290.998 11.6042073 220.599 4.4483046
230.773 0.5283578 230.773 0.1502781 230.773 2.6010086 230.773 0.5263935 230.773 1.4097456 230.871 2.5810239 230.871 1.6730234 230.871 4.9998612 240.666 2.5459407 230.871 3.351238 230.905 2.8339746000000003 230.905 1.2176953000000001 230.905 5.6627457 230.905 2.905565 230.905 3.5442831 230.88 3.5450347 230.88 1.8685617 230.88 6.2522983 230.88 3.2176804 230.88 3.7387702 231.012 2.5952253 231.012 0.8891666 231.012 7.1276593 300.812 3.3736156 231.012 4.9481687999999995
240.306 0.546742 240.306 0.1551857 240.306 2.6945949 240.306 0.58007 240.306 1.4618634 240.666 2.9818512999999998 240.666 1.8292791999999998 240.666 5.3155678 251.096 3.7588941 240.666 3.660578 241.188 2.9427586999999997 241.188 1.2720616999999999 241.188 5.9450893 241.188 3.0137763 241.188 3.6809423000000003 240.918 3.770693 240.918 1.9853862 240.918 6.5980457999999995 240.918 3.6637635000000004 240.918 3.982639 240.75 2.5739342 240.75 0.862012 240.75 6.6911103999999995 310.374 11.2170107 240.75 4.4880278
250.727 0.572964 250.727 0.1640906 250.727 2.7979703999999996 250.727 0.6105334 250.727 1.5999574 251.096 3.0636623 251.096 1.8752365000000002 251.096 5.4704797 260.584 2.8621949 251.096 3.8225543 250.529 3.0618588 250.529 1.3185779 250.529 6.1185513 250.529 3.1453257999999997 250.529 3.7825313 250.752 3.8683846 250.752 2.044116 250.752 6.8469435 250.752 3.7660898000000005 250.752 4.3186846 250.82 3.4906971999999996 250.82 1.2078607 250.82 39.9933874 nan nan 250.82 37.4408809
261.258 0.5960348 261.258 0.1768474 261.258 3.0540916 261.258 0.6221626 261.258 1.6605041 260.584 3.108271 260.584 1.9017271 260.584 5.6375414 270.468 2.8058506000000003 260.584 4.021490099999999 260.408 3.2116312000000002 260.408 1.3785875 260.408 6.3654019 260.408 3.2697155 260.408 3.9434285000000004 260.947 4.037593299999999 260.947 2.1308365 260.947 7.1262805 260.947 3.9195900999999997 260.947 4.4741002000000005 260.267 2.406975 260.267 0.8155927000000001 260.267 7.099323200000001 nan nan 260.267 4.1090628
270.631 0.6598786999999999 270.631 0.1851101 270.631 3.1530276 270.631 0.6504536 270.631 1.7257837999999999 270.468 3.1376003 270.468 1.9011694 270.468 5.7610983000000004 281.172 7.387814199999999 270.468 4.0657755 270.279 3.2816669 270.279 1.4133773 270.279 6.632895899999999 270.279 3.3428291999999997 270.279 4.0906804 270.475 4.1646784 270.475 2.1941895 270.475 7.6274125 270.475 4.043675899999999 270.475 4.6142271 270.49 2.7323052 270.49 0.9108872 270.49 7.2829201999999995 nan nan 270.49 4.746786999999999
281.257 0.6487847 281.257 0.1825267 281.257 3.2469439 281.257 0.6447318 281.257 1.7496759000000002 281.172 3.2874718 281.172 2.022133 281.172 6.0112976 300.361 3.1987921999999998 281.172 4.2962494 280.351 3.4336089999999997 280.351 1.4742948999999999 280.351 6.800255900000001 280.351 3.4801946999999998 280.351 4.2463065 280.687 4.288510499999999 280.687 2.280297 280.687 7.885097 280.687 4.1671546 280.687 4.759986700000001 280.978 3.0639748 280.978 1.0567221 280.978 9.0392815 nan nan 280.978 6.1818077
290.425 0.6749763 290.425 0.1891465 290.425 3.3338133999999995 290.425 0.6671953 290.425 1.8017261000000002 291.091 3.3087609999999996 291.091 2.0140014 291.091 6.1342657 310.419 3.3386314999999995 291.091 4.3154508 291.245 3.8462956 291.245 1.5595623 291.245 7.0869077 291.245 3.6571100999999997 291.245 4.4361074 291.038 4.4699922 291.038 2.3772728 291.038 8.2618334 291.038 4.3429981 291.038 4.9644178000000005 290.998 3.0418606 290.998 1.0037945000000001 290.998 8.829234099999999 nan nan 290.998 5.605428600000001
